Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sri Lanka,LKA,2023,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1461.39602854664
Sri Lanka,LKA,2022,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1461.39602854664
Sri Lanka,LKA,2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1461.39602854664
Sri Lanka,LKA,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2838.09871756017
Sri Lanka,LKA,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1803.5529686261
Sri Lanka,LKA,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1312.52534226765
Sri Lanka,LKA,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1119.42061101067
Sri Lanka,LKA,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1597.65439742528
Sri Lanka,LKA,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1502.44983149999
Sri Lanka,LKA,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1968.04516940845
Sri Lanka,LKA,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1381.41661454872
Sri Lanka,LKA,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2676.12
Sri Lanka,LKA,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3345.09
Sri Lanka,LKA,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2748.57
Sri Lanka,LKA,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2970.09883888302
Sri Lanka,LKA,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,4221.35199187451
Sri Lanka,LKA,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2836.46283916634
